GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Lone_Star_Wind_1_(Mesquite)	2	1
Lone_Star_Wind_2_(Post_Oak)_U1	1	1
Lone_Star_Wind_2_(Post_Oak)_U1	2	1
Lone_Star_Wind_2_(Post_Oak)_U2	1	1
Lone_Star_Wind_2_(Post_Oak)_U2	2	1
Longhorn_Wind_North_U1	1	1
Longhorn_Wind_North_U1	2	1
Longhorn_Wind_North_U2	1	1
Longhorn_Wind_North_U2	2	1
Loraine_Windpark_I	1	1
Loraine_Windpark_I	2	1
Loraine_Windpark_II	1	1
Loraine_Windpark_II	2	1
Loraine_Windpark_III	1	1
Loraine_Windpark_III	2	1
Loraine_Windpark_IV	1	1
Loraine_Windpark_IV	2	1
Los_Vientos_Wind_III	1	1
Los_Vientos_Wind_III	2	1
McAdoo_Wind_Farm	1	1
McAdoo_Wind_Farm	2	1
Mesquite_Creek_Wind_1	1	1
Mesquite_Creek_Wind_1	2	1
Mesquite_Creek_Wind_2	1	1
Mesquite_Creek_Wind_2	2	1
Miami_Wind_G1	1	1
Miami_Wind_G1	2	1
Miami_Wind_G2	1	1
Miami_Wind_G2	2	1
Notrees_Wind_Farm_1	1	1
Notrees_Wind_Farm_1	2	1
Notrees_Wind_Farm_2	1	1
Notrees_Wind_Farm_2	2	1
Ocotillo_Wind_Farm	1	1
Ocotillo_Wind_Farm	2	1
Panhandle_Wind_1_U1	1	1
Panhandle_Wind_1_U1	2	1
Panhandle_Wind_1_U2	1	1
Panhandle_Wind_1_U2	2	1
Panhandle_Wind_2_U1	1	1
Panhandle_Wind_2_U1	2	1
Panhandle_Wind_2_U2	1	1
Panhandle_Wind_2_U2	2	1
Panther_Creek_1	1	1
Panther_Creek_1	2	1
Panther_Creek_2	1	1
Panther_Creek_2	2	1
Panther_Creek_3	1	1
Panther_Creek_3	2	1
Pecos_Wind_(Woodward_1)	1	1
Pecos_Wind_(Woodward_1)	2	1
Pecos_Wind_(Woodward_2)	1	1
Pecos_Wind_(Woodward_2)	2	1
Pyron_Wind_Farm	1	1
Pyron_Wind_Farm	2	1
Rattlesnake_Den_Wind_1_G1	1	1
Rattlesnake_Den_Wind_1_G1	2	1
Rattlesnake_Den_Wind_1_G2	1	1
Rattlesnake_Den_Wind_1_G2	2	1
Red_Canyon_Wind	1	1
Red_Canyon_Wind	2	1
Roscoe_Wind_Farm	1	1
Roscoe_Wind_Farm	2	1
Route_66_Wind	1	1
Route_66_Wind	2	1
Sand_Bluff_Wind_Farm	1	1
Sand_Bluff_Wind_Farm	2	1
Senate_Wind	1	1
Senate_Wind	2	1
Shannon_Wind	1	1
Shannon_Wind	2	1
Sherbino_1_Wind	1	1
Sherbino_1_Wind	2	1
Sherbino_2_Wind	1	1
Sherbino_2_Wind	2	1
Silver_Star_Wind	1	1
Silver_Star_Wind	2	1
Snyder_Wind_Farm	1	1
Snyder_Wind_Farm	2	1
South_Plains_Wind_1	1	1
South_Plains_Wind_1	2	1
South_Plains_Wind_2	1	1
South_Plains_Wind_2	2	1
South_Trent_Wind_Farm	1	1
South_Trent_Wind_Farm	2	1
Spinning_Spur_3_Wind_1	1	1
Spinning_Spur_3_Wind_1	2	1
Spinning_Spur_3_Wind_2	1	1
Spinning_Spur_3_Wind_2	2	1
Spinning_Spur_Wind_Two	1	1
Spinning_Spur_Wind_Two	2	1
Stanton_Wind_Energy	1	1
Stanton_Wind_Energy	2	1
Stephens_Ranch_Wind_1	1	1
Stephens_Ranch_Wind_1	2	1
Stephens_Ranch_Wind_2	1	1
Stephens_Ranch_Wind_2	2	1
Sweetwater_Wind_1	1	1
Sweetwater_Wind_1	2	1
Sweetwater_Wind_2A	1	1
Sweetwater_Wind_2A	2	1
Sweetwater_Wind_2B	1	1
Sweetwater_Wind_2B	2	1
Sweetwater_Wind_3A	1	1
Sweetwater_Wind_3A	2	1
Sweetwater_Wind_3B	1	1
Sweetwater_Wind_3B	2	1
Sweetwater_Wind_4-4A	1	1
Sweetwater_Wind_4-4A	2	1
Sweetwater_Wind_4-4B	1	1
Sweetwater_Wind_4-4B	2	1
Sweetwater_Wind_4-5	1	1
Sweetwater_Wind_4-5	2	1
Texas_Big_Spring_Wind_A	1	1
Texas_Big_Spring_Wind_A	2	1
Texas_Big_Spring_Wind_B	1	1
Texas_Big_Spring_Wind_B	2	1
Trent_Wind_Farm	1	1
Trent_Wind_Farm	2	1
Trinity_Hills_Wind_1	1	1
Trinity_Hills_Wind_1	2	1
Trinity_Hills_Wind_2	1	1
Trinity_Hills_Wind_2	2	1
TSTC_West_Texas_Wind	1	1
TSTC_West_Texas_Wind	2	1
Turkey_Track_Wind_Energy_Center	1	1
Turkey_Track_Wind_Energy_Center	2	1
West_Texas_Wind_Energy	1	1
West_Texas_Wind_Energy	2	1
Whirlwind_Energy	1	1
Whirlwind_Energy	2	1
Whitetail_Wind_Energy	1	1
Whitetail_Wind_Energy	2	1
Windthorst_2	1	1
Windthorst_2	2	1
WKN_Mozart_Wind	1	1
WKN_Mozart_Wind	2	1
Wolf_Flats_Wind_(Wind_Mgt)	1	1
Wolf_Flats_Wind_(Wind_Mgt)	2	1
Wolf_Ridge_Wind	1	1
Wolf_Ridge_Wind	2	1
Cameron_Wind	1	1
Cameron_Wind	2	1
Gulf_Wind_I	1	1
Gulf_Wind_I	2	1
Gulf_Wind_II	1	1
Gulf_Wind_II	2	1
Harbor_Wind	1	1
Harbor_Wind	2	1
Los_Vientos_Wind_I	1	1
Los_Vientos_Wind_I	2	1
Los_Vientos_Wind_II	1	1
Los_Vientos_Wind_II	2	1
Magic_Valley_Wind_(Redfish)_1A	1	1
Magic_Valley_Wind_(Redfish)_1A	2	1
Magic_Valley_Wind_(Redfish)_1B	1	1
Magic_Valley_Wind_(Redfish)_1B	2	1
Papalote_Creek_Wind_Farm	1	1
Papalote_Creek_Wind_Farm	2	1
Papalote_Creek_Wind_Farm_II	1	1
Papalote_Creek_Wind_Farm_II	2	1
Penascal_Wind_1	1	1
Penascal_Wind_1	2	1
Penascal_Wind_2	1	1
Penascal_Wind_2	2	1
Penascal_Wind_3	1	1
Penascal_Wind_3	2	1
