GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
Panda_Temple_II_CTG1	5	NG	0.0
Greens_Bayou_83	10	NG	0.0
Equistar_Corpus_Christi	3	NG	102.0
Corpus_Christi_Energy_Center	8	NG	3344.80491
Gregory_Power_Facility	1	NG	0.0
J_K_Spruce_2	7	Coal-Sub	0.0
Ray_Olinger_3	5	NG	0.0
Sam_Rayburn_10	10	NG	87.19029477953417
Hidalgo_1	1	NG	0.0
Paris_Energy_Center_1	10	NG	0.0
V_H_Braunig_6	10	NG	0.0
Midlothian_1	5	NG	0.0
Midlothian_1	6	NG	0.0
Sim_Gideon_3	9	NG	3866.49648
Cedar_Bayou_1	7	NG	7647.10465
R_W_Miller_5	1	NG	0.0
Decker_Creek_1	4	NG	3278.00025
Powerlane_Plant_2	7	NG	0.0
Spencer_4	10	NG	0.0
Greenville_Powerlane_IC3	2	NG	0.0
Ray_Olinger_1	1	NG	0.0
Permian_Basin_4	11	NG	0.0
San_Miguel_1	9	Coal-Lig	0.0
Monticello_U2	8	Coal-Lig	0.0
Dansby_3	12	NG	0.0
Handley_4	4	NG	0.0
Sand_Hill_Energy_Center_GT_6	12	NG	0.0
Cedar_Bayou_1	3	NG	7647.10465
ExTex_La_Porte_Power_Station_AirPro_2	4	NG	0.0
W_A_Parish_5	10	Coal-Sub	0.0
Forney_Energy_Center_1	1	NG	0.0
Freeport_Energy_Center	2	NG	508.28096999999997
Panda_Temple_II_STG	6	NG	0.0
Freestone_Energy_Center_1	3	NG	0.0
Sand_Hill_Energy_Center_GT_2	4	NG	0.0
Panda_Temple_II_CTG1	4	NG	0.0
V_H_Braunig_7	2	NG	474.91200000000003
Pearsall_IC_Engine_Plant_B	6	NG	495.33099
San_Jacinto_SES_CTG_2	11	NG	0.0
Powerlane_Plant_2	12	NG	0.0
Arthur_Von_Rosenberg_1	5	NG	3671.8088999999995
Deer_Park_Energy_Center_1	2	NG	6961.78944
V_H_Braunig_8	8	NG	465.01800000000003
W_A_Parish_3	10	NG	2971.7661
Ector_County_Energy	4	NG	0.0
Brazos_Valley_1	2	NG	4709.61456
J_T_Deely_2	4	Coal-Sub	0.0
Morgan_Creek_1	8	NG	0.0
Spencer_4	11	NG	0.0
Panda_Sherman	11	NG	0.0
Greens_Bayou_83	6	NG	0.0
B_M_Davis_1	12	NG	3465.0
V_H_Braunig_5	5	NG	474.91200000000003
Sam_Rayburn_10	7	NG	0.0
Decker_Creek_2	9	NG	4504.5966
Optim_Energy_Altura_Cogen	1	NG	5641.714764
Graham_2	11	NG	0.0
San_Miguel_1	8	Coal-Lig	0.0
ExTex_La_Porte_Power_Station_AirPro_2	5	NG	0.0
Martin_Lake_1	5	Coal-Lig	0.0
Ray_Olinger_2	8	NG	0.0
Nacogdoches_Power	1	Biomass	0.0
Panda_Temple_II_STG	1	NG	0.0
Laredo_Peaking_4	4	NG	906.0455999999999
W_A_Parish_T1	12	NG	0.0
Martin_Lake_2	3	Coal-Lig	0.0
T_H_Wharton_GT_51	12	NG	0.0
South_Texas_U2	12	Uranium	13594.91
Magic_Valley_Station	11	NG	4909.8852
Permian_Basin_1	12	NG	0.0
ExTex_La_Porte_Power_Station_AirPro_4	1	NG	0.0
Oklaunion_1	2	Coal-Sub	0.0
W_A_Parish_4	4	NG	5897.227440000001
Monticello_U3	11	Coal-Sub	0.0
San_Jacinto_SES_CTG_2	10	NG	0.0
Leon_Creek_Peaking_4	2	NG	0.0
Panda_Temple_II_CTG1	9	NG	0.0
Mountain_Creek_7	1	NG	0.0
Sand_Hill_Energy_Center_GT_2	6	NG	0.0
Morgan_Creek_1	11	NG	0.0
V_H_Braunig_6	6	NG	474.91200000000003
Bryan_Atkins_7	1	NG	0.0
Greens_Bayou_83	7	NG	0.0
Panda_Temple_II_CTG2	3	NG	0.0
W_A_Parish_2	1	NG	1945.77812
Winchester_Power_Park_2	3	NG	0.0
Sam_Rayburn_10	6	NG	1442.2045
Victoria_Texas_Plant	12	NG	80.10000000000001
T_H_Wharton_GT_56	9	NG	0.0
Graham_2	10	NG	0.0
Hays_Energy_Facility_1	6	NG	6835.74696
Spencer_5	2	NG	0.0
Permian_Basin_5	7	NG	0.0
Ray_Olinger_2	7	NG	0.0
Mountain_Creek_8	2	NG	0.0
Dansby_3	6	NG	0.0
Laredo_Peaking_4	5	NG	0.0
Dansby_2	4	NG	0.0
V_H_Braunig_7	10	NG	474.91200000000003
Panda_Sherman	6	NG	0.0
W_A_Parish_Petra_Nova	4	NG	0.0
V_H_Braunig_5	7	NG	474.91200000000003
Optim_Energy_Altura_Cogen	12	NG	0.0
Pearsall_3	8	NG	290.0
T_H_Wharton_G_1	2	NG	0.0
V_H_Braunig_2	6	NG	0.0
Stryker_Creek_1	1	NG	0.0
Frontera_1	4	NG	3584.10236
Mountain_Creek_8	10	NG	0.0
Sim_Gideon_3	6	NG	3866.49648
Sand_Hill_Energy_Center_GT_7	8	NG	0.0
Sam_Rayburn_GT_2	7	NG	0.0
